profile_id,level,depth,temperature,salinity,density
prof_000,0,6.599999904632568,28.191999435424805,35.007999420166016,996.3679996490479
prof_000,1,9.600000381469727,28.19499969482422,35.00600051879883,996.3658004760742
prof_000,2,19.5,27.95800018310547,35.007999420166016,996.4147994995117
prof_000,3,29.700000762939453,27.9060001373291,35.01100158691406,996.4276012420654
prof_000,4,39.599998474121094,27.207000732421875,35.12200164794922,996.656201171875
prof_000,5,49.29999923706055,26.81599998474121,34.98899841308594,996.6279987335206
prof_000,6,59.400001525878906,26.701000213623047,34.98899841308594,996.6509986877442
prof_000,7,69.5,26.645000457763672,34.99700164794922,996.6686012268066
prof_000,8,79.4000015258789,26.530000686645508,34.972999572753906,996.672399520874
prof_000,9,89.0,26.40999984741211,34.974998474121094,996.6979988098145
prof_000,10,99.5,26.003999710083008,35.04999923706055,996.8391994476318
prof_000,11,109.5,25.201000213623047,35.07400131225586,997.0190010070801
prof_000,12,119.5,22.66699981689453,34.89799880981445,997.3849990844727
prof_000,13,129.5,21.601999282836914,34.99700164794922,997.6772014617919
prof_000,14,139.5,20.30500030517578,34.965999603271484,997.911799621582
prof_000,15,149.1999969482422,19.479999542236328,34.9640007019043,998.0752006530762
prof_000,16,159.6999969482422,18.698999404907227,35.01499938964844,998.2721996307373
prof_000,17,169.60000610351562,17.42799949645996,35.042999267578125,998.5487995147705
prof_000,18,179.8000030517578,17.393999099731445,35.26300048828125,998.7316005706787
prof_000,19,189.39999389648438,16.992000579833984,35.262001037597656,998.8112007141114
prof_000,20,199.1999969482422,16.43000030517578,35.262001037597656,998.923600769043
prof_000,21,209.5,15.850000381469727,35.242000579833984,999.0236003875732
prof_000,22,219.10000610351562,15.137999534606934,35.20399856567383,999.1355989456176
prof_000,23,229.39999389648438,14.939000129699707,35.20100021362305,999.1730001449586
prof_000,24,239.0,14.890000343322754,35.242000579833984,999.2156003952026
prof_000,25,249.1999969482422,14.897000312805176,35.39699935913086,999.3381994247437
prof_000,26,259.20001220703125,14.489999771118164,35.380001068115234,999.4060009002685
prof_000,27,269.5,13.907999992370605,35.323001861572266,999.4768014907837
prof_000,28,279.6000061035156,13.736000061035156,35.29600143432617,999.4896011352539
prof_000,29,289.3999938964844,13.4399995803833,35.26300048828125,999.5224004745482
prof_000,30,299.29998779296875,13.279000282287598,35.25,999.5441999435425
prof_000,31,309.29998779296875,13.038000106811523,35.236000061035156,999.5812000274659
prof_000,32,319.1000061035156,12.812999725341797,35.2130012512207,999.6078010559082
prof_000,33,329.5,12.701000213623047,35.19900131225586,999.6190010070801
prof_000,34,338.8999938964844,12.491000175476074,35.16899871826172,999.6369989395141
prof_000,35,348.8999938964844,12.032999992370605,35.108001708984375,999.6798013687134
prof_000,36,359.1000061035156,11.809000015258789,35.073001861572266,999.6966014862061
prof_000,37,379.0,11.074999809265137,34.96500015258789,999.7570001602173
prof_000,38,399.0,10.531000137329102,34.88199996948242,999.7993999481201
prof_000,39,449.29998779296875,9.314000129699707,34.72100067138672,999.9140005111694
prof_000,40,499.1000061035156,8.753999710083008,34.683998107910156,999.9963985443115
prof_000,41,549.2999877929688,8.340999603271484,34.6609992980957,1000.0605995178223
prof_000,42,599.5999755859375,7.623000144958496,34.665000915527344,1000.2074007034302
prof_000,43,649.2000122070312,7.465000152587891,34.678001403808594,1000.2494010925293
prof_000,44,699.0999755859375,7.199999809265137,34.6870002746582,1000.3096002578735
prof_000,45,749.0999755859375,6.900000095367432,34.69900131225586,1000.3792010307312
prof_000,46,798.9000244140625,6.663000106811523,34.70100021362305,1000.4282001495361
prof_000,47,849.4000244140625,6.34499979019165,34.70399856567383,1000.4941988945008
prof_000,48,899.5,5.988999843597412,34.70199966430664,1000.5637997627259
prof_000,49,949.4000244140625,5.639999866485596,34.70199966430664,1000.6335997581482
prof_000,50,999.0999755859375,5.4079999923706055,34.70399856567383,1000.681598854065
prof_001,0,7.199999809265137,28.785999298095703,34.933998107910156,996.189998626709
prof_001,1,9.5,28.78700065612793,34.933998107910156,996.1897983551025
prof_001,2,19.600000381469727,28.777999877929688,34.939998626708984,996.1963989257813
prof_001,3,29.600000381469727,28.617000579833984,34.98400115966797,996.2638008117676
prof_001,4,39.599998474121094,28.54599952697754,34.979000091552734,996.2740001678467
prof_001,5,48.79999923706055,27.4060001373291,35.0989990234375,996.5979991912842
prof_001,6,59.400001525878906,27.31399917602539,35.1150016784668,996.6292015075684
prof_001,7,69.30000305175781,27.18000030517578,35.119998931884766,996.6599990844726
prof_001,8,79.5999984741211,26.798999786376953,35.077999114990234,996.7025993347168
prof_001,9,89.19999694824219,26.593000411987305,35.196998596191406,996.8389987945557
prof_001,10,99.69999694824219,25.280000686645508,35.14799880981445,997.0623989105225
prof_001,11,109.69999694824219,22.966999053955078,35.04199981689453,997.4402000427247
prof_001,12,119.0999984741211,21.312999725341797,35.005001068115234,997.7414009094239
prof_001,13,129.60000610351562,20.738000869750977,35.042999267578125,997.8867992401123
prof_001,14,139.1999969482422,20.208999633789062,35.03900146484375,997.9894012451172
prof_001,15,149.5,19.562000274658203,35.084999084472656,998.1555992126465
prof_001,16,159.10000610351562,18.388999938964844,35.05799865722656,998.3685989379883
prof_001,17,169.6999969482422,17.874000549316406,35.0359992980957,998.4539993286132
prof_001,18,179.39999389648438,17.55900001525879,35.04199981689453,998.5217998504638
prof_001,19,189.5,16.985000610351562,35.071998596191406,998.6605987548828
prof_001,20,199.10000610351562,16.54199981689453,35.22200012207031,998.8692001342774
prof_001,21,209.5,16.236000061035156,35.24399948120117,998.9479995727539
